,Unnamed: 0.1,Unnamed: 0,userId,movieId,rating,movie_idx
0,298016,298016,49,70,1.5,1657
1,298017,298017,49,168,4.0,1547
2,298018,298018,49,186,3.5,1732
3,298019,298019,49,333,4.0,629
4,298020,298020,49,342,4.0,446
5,298021,298021,49,345,4.5,447
6,298022,298022,49,529,4.5,375
7,298023,298023,49,762,4.0,1519
8,298024,298024,49,785,4.0,231
9,128951,128951,50,5,1.5,1546
10,128952,128952,50,163,1.5,1517
11,128953,128953,50,196,1.0,1518
12,128954,128954,50,370,2.0,495
13,128955,128955,50,543,2.0,640
14,128956,128956,50,552,2.5,422
15,128957,128957,50,555,1.5,104
16,128958,128958,50,953,2.0,1565
17,128959,128959,50,1233,3.0,519
18,128960,128960,50,1266,1.5,1815
19,125442,125442,51,1,5.0,1507
20,125443,125443,51,3,3.0,1570
21,125444,125444,51,12,1.0,2454
22,125445,125445,51,17,5.0,1572
23,125446,125446,51,32,3.0,1510
24,125447,125447,51,36,4.0,1511
25,125448,125448,51,41,3.0,2455
26,125449,125449,51,43,3.0,1736
27,125450,125450,51,74,4.0,1609
28,125451,125451,51,102,2.0,1781
29,5174,5174,52,19,3.0,1534
30,5175,5175,52,34,4.0,1573
31,5176,5176,52,110,4.0,1530
32,5177,5177,52,111,3.0,1537
33,5178,5178,52,160,3.0,1670
34,5179,5179,52,253,3.0,1558
35,5180,5180,52,266,4.0,1559
36,5181,5181,52,296,3.0,1541
37,5182,5182,52,356,3.0,365
38,5183,5183,52,364,3.0,185
39,92583,92583,53,52,4.5,1512
40,92584,92584,53,58,3.0,1632
41,92585,92585,53,168,0.5,1547
42,92586,92586,53,186,4.5,1732
43,92587,92587,53,256,0.5,1789
44,92588,92588,53,342,0.5,446
45,92589,92589,53,376,4.5,142
46,92590,92590,53,805,2.0,2059
47,92591,92591,53,902,1.0,1900
48,92592,92592,53,914,0.5,1963
49,259409,259409,54,145,2.5,1516
50,259410,259410,54,616,3.5,825
51,259411,259411,54,913,3.5,1625
52,259412,259412,54,969,4.0,1578
53,259413,259413,54,1197,5.0,237
54,259414,259414,54,1242,4.5,147
55,259415,259415,54,1375,2.5,1874
56,259416,259416,54,1722,3.5,525
57,259417,259417,54,1748,3.5,1665
58,259418,259418,54,1876,3.0,834
59,4305,4305,0,1,5.0,1507
60,4306,4306,0,6,5.0,1508
61,4307,4307,0,25,4.0,1509
62,4308,4308,0,32,3.0,1510
63,4309,4309,0,36,5.0,1511
64,4310,4310,0,52,3.0,1512
65,4311,4311,0,95,4.0,1513
66,4312,4312,0,112,2.0,1514
67,4313,4313,0,260,5.0,1515
68,4314,4314,0,376,4.0,142
69,72563,72563,55,3,1.5,1570
70,72564,72564,55,16,3.0,1536
71,72565,72565,55,225,3.5,1548
72,72566,72566,55,337,3.0,445
73,72567,72567,55,750,5.0,498
74,72568,72568,55,923,4.5,504
75,72569,72569,55,1080,4.0,268
76,72570,72570,55,1220,4.5,1870
77,72571,72571,55,1230,4.5,1581
78,72572,72572,55,1304,4.0,150
79,72745,72745,56,48,3.5,1686
80,72746,72746,56,262,4.5,1619
81,72747,72747,56,801,2.5,2456
82,72748,72748,56,1014,3.5,2457
83,72749,72749,56,1654,2.0,2458
84,72750,72750,56,1806,3.0,2459
85,72751,72751,56,2392,3.0,2460
86,72752,72752,56,2497,3.5,2461
87,72753,72753,56,3945,1.5,2462
88,72754,72754,56,5109,1.0,2463
89,282204,282204,57,50,4.5,1539
90,282205,282205,57,290,3.0,2464
91,282206,282206,57,318,5.0,798
92,282207,282207,57,446,5.0,1635
93,282208,282208,57,527,4.5,144
94,282209,282209,57,609,2.5,219
95,282210,282210,57,858,4.5,502
96,282211,282211,57,1515,2.0,2465
97,282212,282212,57,1672,4.0,292
98,282213,282213,57,2338,2.0,545
99,274022,274022,58,150,5.0,1553
100,274023,274023,58,161,3.0,1554
101,274024,274024,58,231,3.0,1557
102,274025,274025,58,288,2.0,1674
103,274026,274026,58,296,3.0,1541
104,274027,274027,58,318,4.0,798
105,274028,274028,58,329,3.0,800
106,274029,274029,58,339,3.0,362
107,274030,274030,58,344,4.0,363
108,274031,274031,58,349,5.0,364
109,284552,284552,59,169,3.0,2466
